,Color,Fabric,Id,Padding,Price,Rating,Style,StyleOutput,Preference,fileImages,linksPages
64,bare,nylon and spandex,1552,lightly lined cup,$42 ,4.0,demi bra,demi,default,CKBraNude.jpg,https://trueandco.com/bras/calvin-klein/icon/1552
65,nude,nylon and spandex,51,lightly lined cup,$64 ,4.0,demi bra,demi,default,Natori136059Cafe.jpg,https://trueandco.com/bras/natori/sheer-jacquard/51
66,black,"polyurethane, polyester, nylon, spandex ",1608,lightly lined cup,$89 ,4.0,convertible strapless bra,default,strapless,TCCeleste66296BlackStrapless.jpg,https://trueandco.com/bras/simone-perele/celeste/1608
67,black,"nylon, spandex, and polyester ",959,slight pushup,$44 ,4.0,demi bra,demi,default,TRUE_Pushup_TR004_BlackDONE.jpg,https://trueandco.com/bras/day-to-night/day-no-25-pushup/959
68,blue,"nylon, polyester, and spandex",530,lightly lined cup,$45 ,4.0,demi bra,demi,default,TCFeelGood60488Blue.jpg,https://trueandco.com/bras/leilieve/feel-good/530
69,natural,nylon and spandex,61,unlined cup,$68 ,4.0,minimizing bra,minimizer,default,Spanx_Braliminate_1488_Nude.jpg,https://trueandco.com/bras/spanx/braliminate/61
70,inkdot,"polyester, spandex and nylon",2368,unlined cup,$45 ,4.0,full coverage,full,default,Felina_Marielle_Bra_BlueDot.jpg,https://trueandco.com/bras/felina/marielle/2368
71,white,"pima cotton, modal, and spandex",2581,unlined cup,$24 ,5.0,tank bralette,default,bralette,CK_ModernComfort_Bralette_White.jpg,https://trueandco.com/bras/calvin-klein/modern-cotton/2581
72,nude,nylon and spandex,39,unlined cup,$45 ,4.0,full coverage plunge,full,default,Natori_Bare_Support_1338103_Nude.jpg,https://trueandco.com/bras/natori/bare-support/39
73,pebble,"nylon, rayon, and spandex",595,unlined cup,$58 ,4.0,racerback bralette,default,racerback,TCColette61239Pebble_.jpg,https://trueandco.com/bras/eberjey/colette/595
74,black,"nylon, spandex",3147,lightly lined cup,$60 ,4.0,lined contour cup,lined,default,Wacoal_LaFemmeContour_Bra_Black.jpg,https://trueandco.com/bras/wacoal/la-femme-contour/3147
75,black,nylon lace,780,unlined cup,$59 ,5.0,plunge front-hook bralette,plunge,default,TCEmmaElegance61570Eclipse.jpg,https://trueandco.com/bras/clo-intimo/fortuna/780
76,sugar baby,"polyester, spandex and nylon",2527,unlined cup,$45 ,4.0,full coverage,full,default,Felina_Marielle_Bra_TanDot.jpg,https://trueandco.com/bras/felina/marielle/2527
77,naturally nude,"polyester, spandex",3142,lightly lined cup,$56 ,4.0,"lined, contour cup demi",demi,default,Wacoal_HaloContourSpacer_Bra_Nude.jpg,https://trueandco.com/bras/wacoal/halo-contour-spacer/3142
78,black,polyester and spandex,1656,lightly lined cup,$46 ,4.0,compression sports bra,full,default,MovingComfort_Fiona_350003201_SportsBras_Black_Front.jpg,https://trueandco.com/bras/moving-comfort/fiona/1656
79,peau rose,"polyurethane, polyester, nylon, spandex ",1609,lightly lined cup,$89 ,4.0,convertible strapless bra,default,strapless,SP_Celeste_nude.jpg,https://trueandco.com/bras/simone-perele/celeste/1609
80,black,nylon and spandex,1797,lightly lined cup,$64 ,4.0,demi bra,demi,default,Natori_Understated_132025_Black.jpg,https://trueandco.com/bras/natori/understated/1797
81,black,nylon and spandex,1402,lightly lined cup,$72 ,4.0,balconette bra,balconette,default,Claudette101001001BlackAGAIN.jpg,https://trueandco.com/bras/claudette/sophia-icon/1402
82,black,"nylon, polyester, and spandex",1672,slight pushup,$46 ,4.0,demi bra,demi,default,Triumph_ForbiddenLace_1774_DemiBra_Black.jpg,https://trueandco.com/bras/triumph/forbidden-lace/1672
83,russian red,nylon and spandex,3072,lightly lined cup,$68 ,5.0,plunge,plunge,default,Natori_Feathers_Bra_RussianRed.jpg,https://trueandco.com/bras/natori/feathers/3072
84,club med/black,nylon and spandex,2310,lightly lined cup,$72 ,4.0,balconette bra,balconette,default,Claudette_SophiaIcon_Bra_ClubMed.jpg,https://trueandco.com/bras/claudette/sophia-icon/2310
85,aqua,nylon,2575,slight pushup,$46 ,4.0,demi bra,demi,default,OG_GossamerMesh_BumpitUp_Aqua_Surf.jpg,https://trueandco.com/bras/ongossamer/bump-it-up/2575
86,black,"nylon, polyester, and spandex",1674,lightly lined cup,$54 ,5.0,demi bra,demi,default,Triumph_Beauty_Full.jpg,https://trueandco.com/bras/triumph/beauty-full/1674
87,cayenne/black,nylon and spandex,2311,lightly lined cup,$72 ,5.0,balconette bra,balconette,default,Claudette_SophiaIcon_Bra_Cayenne.jpg,https://trueandco.com/bras/claudette/sophia-icon/2311
88,malibu blue,nylon and spandex,1390,lightly lined cup,$48 ,4.0,demi bra,demi,default,BetseyJohnson_723803_BlueYellow.jpg,https://trueandco.com/bras/betsey-johnson/stocking-stripe/1390
89,smooth skin,"polyester, nylon, and spandex",1675,unlined cup,$62 ,4.0,minimizer bra,minimizer,default,Triumph_AmazingSensation_MinimizerBra_1831_Nude.jpg,https://trueandco.com/bras/triumph/amazing-sensation/1675
90,black,"nylon, spandex",3144,lightly lined cup,$48 ,4.0,full coverage,full,default,Wacoal_Halo_Bra_Black.jpg,https://trueandco.com/bras/wacoal/halo-molded/3144
91,black,nylon and elastane,721,slight pushup,$46 ,4.0,multi-way demi with removable pads,demi,multiway,CK_Perfectly_Fit_F3223_Black.jpg,https://trueandco.com/bras/calvin-klein/perfectly-fit-5-way/721
92,cocoa,nylon and spandex,2318,lightly lined cup,$68 ,4.0,plunge,plunge,default,Natori_Feathers_Bra_Cocoa.jpg,https://trueandco.com/bras/natori/feathers/2318
93,black,"nylon, polyester, and spandex",1044,unlined cup,$60 ,4.0,unlined demi,demi,default,PTT_Nude_Nude107_UnderwireTriangle_Black.jpg,https://trueandco.com/bras/princesse-tam-tam/nude/1044
94,black/cafe,nylon and spandex,1836,lightly lined cup,$60 ,4.0,demi bra,demi,default,Natori_GeoIcon_Demi_Black.,https://trueandco.com/bras/natori/geo-icon/1836
95,diva blue,nylon and spandex,2316,unlined cup,$48 ,5.0,longline bra,default,longline,Josie_Bardot_Bra_Blue.jpg,https://trueandco.com/bras/josie/bardot/2316
96,black,"nylon, spandex",3138,lightly lined cup,$65 ,5.0,full coverage,full,default,Wacoal_AwarenessSeamless_Bra_Black.jpg,https://trueandco.com/bras/wacoal/awareness-seamless/3138
97,black,"nylon, cotton, and spandex",1673,unlined cup,$54 ,4.0,full coverage bra,full,default,Triumph_Amourette_Spotlight_black.jpg,https://trueandco.com/bras/triumph/amourette-spotlight/1673
98,purple gem,nylon and spandex,1389,lightly lined cup,$48 ,4.0,demi bra,demi,default,BJ_Stocking_Stripe_purple.jpg,https://trueandco.com/bras/betsey-johnson/stocking-stripe/1389
99,black,nylon and spandex with gel adhesive,860,lightly lined cup,$36 ,4.0,backless strapless,default,strapless,FF_Go_Bare_Backless_Strapless_P6530_Black.jpg,https://trueandco.com/bras/fashion-forms/go-bare-backless-strapless/860
100,black/peacock,"polyester, nylon, polyurethane, and spandex",2759,unlined cup,$69 ,5.0,encapsulation sports bra,full,sports,Anita_ExtremeControl_SportsBra_BlackPeacock.jpg,https://trueandco.com/bras/anita/extreme-control/2759
101,grey heather,"pima cotton, modal, and spandex",2582,unlined cup,$24 ,5.0,tank bralette,default,bralette,CK_ModernComfort_Bralette_Grey.jpg,https://trueandco.com/bras/calvin-klein/modern-cotton/2582
102,black,"polyester, nylon, and spandex",1926,unlined cup,$62 ,4.0,minimizer bra,minimizer,default,Triumph_AmazingSensation_Black.jpg,https://trueandco.com/bras/triumph/amazing-sensation/1926
103,white,"nylon, rayon, and spandex",596,unlined cup,$58 ,4.0,racerback bralette,default,racerback,TCColette61242White.jpg,https://trueandco.com/bras/eberjey/colette/596
104,nude,nylon and spandex with gel adhesive,861,lightly lined cup,$36 ,4.0,backless strapless,default,strapless,FF_Go_Bare_Backless_Strapless_P6530_Nude.jpg,https://trueandco.com/bras/fashion-forms/go-bare-backless-strapless/861
105,black,"nylon, spandex, and silicone",862,lightly lined cup,$36 ,4.0,backless strapless adhesive bra,default,strapless,FF_Backless_Strapless_Lace_P6538_Black.jpg,https://trueandco.com/bras/fashion-forms/backless-strapless-lace/862
106,purple orchid,nylon and spandex,3080,lightly lined cup,$68 ,5.0,plunge,plunge,default,Natori_Feathers_PurpleOrchid_Photoshop.jpg,https://trueandco.com/bras/natori/feathers/3080
107,bright fuschia,nylon and spandex,2315,lightly lined cup,$64 ,5.0,demi bra,demi,default,Natori_SheerJacquard_Bra_Purple.jpg,https://trueandco.com/bras/natori/sheer-jaquard/2315
108,nude,"nylon, polyester, and spandex",1730,lightly lined cup,$45 ,4.0,demi bra,demi,default,Lelieve_FeelGood_Nude.,https://trueandco.com/bras/leilieve/feel-good/1730
109,nude,"nylon, spandex, and polyester",960,slight pushup,$44 ,4.0,demi bra,demi,default,TRUE_Pushup_TR004_NudeDONE.jpg,https://trueandco.com/bras/day-to-night/day-no-25-pushup/960
